"variable","survey_year","sp","estimate","LCI_95","UCI_95","N0","n_died","mean_timeint_yr"
"mortality_rates","2013","acne",0,0,0,6,0,4.67624914442163
"mortality_rates","2014","acne",0,0,0,6,0,1.25347935204198
"mortality_rates","2015","acne",0,0,0,6,0,0.793520419803787
"mortality_rates","2016","acne",0,0,0,6,0,0.996121378051563
"mortality_rates","2017","acne",0,0,0,6,0,1.01254848277436
"mortality_rates","2018","acne",0,0,0,6,0,0.974674880219028
"mortality_rates","2019","acne",0,0,0,6,0,1.0321697467488
"mortality_rates","2020","acne",8.92938989793699,0,49.2285857128674,11,1,1.01897828386535
"mortality_rates","2021","acne",10.006518867306,0,52.1470018369392,11,1,0.903988550805799
"mortality_rates","2013","acpl",0,0,0,7,0,4.75916691111763
"mortality_rates","2014","acpl",0,0,0,7,0,1.19135621394348
"mortality_rates","2015","acpl",0,0,0,7,0,0.795541214432385
"mortality_rates","2016","acpl",0,0,0,7,0,0.984061797203481
"mortality_rates","2017","acpl",0,0,0,7,0,1.03803656986409
"mortality_rates","2018","acpl",0,0,0,7,0,0.964505720152537
"mortality_rates","2019","acpl",0,0,0,7,0,0.990710863400802
"mortality_rates","2020","acpl",0,0,0,7,0,1.04273002835631
"mortality_rates","2021","acpl",0,0,0,7,0,0.928522538378801
"mortality_rates","2013","acru",0,0,0,189,0,4.68915615527525
"mortality_rates","2014","acru",0,0,0,189,0,1.27696837347761
"mortality_rates","2015","acru",0,0,0,185,0,0.794050724235529
"mortality_rates","2016","acru",4.92951979704831,1.89547576517845,8.70814675507024,183,9,0.997609990911233
"mortality_rates","2017","acru",3.21043735333608,0.987967236321861,6.12038817284334,182,6,1.02732585689465
"mortality_rates","2018","acru",4.62564958056367,1.92699279469295,7.52689650597268,181,8,0.954496466130441
"mortality_rates","2019","acru",1.63360561857621,0,3.69102675254468,175,3,1.04981715067957
"mortality_rates","2020","acru",8.71881826080889,4.82213223215634,12.8031526149975,180,16,1.02044261921059
"mortality_rates","2021","acru",11.3591052821509,7.16934018258061,15.7577642042829,175,18,0.900174049085753
"mortality_rates","2013","aial",0,0,0,4,0,4.43805612594114
"mortality_rates","2014","aial",0,0,0,4,0,1.45448323066393
"mortality_rates","2015","aial",0,0,0,4,0,0.813141683778234
"mortality_rates","2016","aial",0,0,0,4,0,0.957563312799452
"mortality_rates","2017","aial",0,0,0,4,0,0.91854893908282
"mortality_rates","2018","aial",25.14855121029,0,100,4,1,0.99315537303217
"mortality_rates","2019","aial",0,0,0,4,0,0.988364134154688
"mortality_rates","2020","aial",0,0,0,4,0,1.04243668720055
"mortality_rates","2021","aial",0,0,0,4,0,1.03696098562628
"mortality_rates","2013","amar",0,0,0,18,0,4.70225872689938
"mortality_rates","2014","amar",0,0,0,18,0,1.25058939843334
"mortality_rates","2015","amar",0,0,0,18,0,0.794585139554339
"mortality_rates","2016","amar",0,0,0,18,0,0.995969275230056
"mortality_rates","2017","amar",0,0,0,18,0,1.03293026085634
"mortality_rates","2018","amar",0,0,0,17,0,0.967749728228047
"mortality_rates","2019","amar",11.4114563025858,0,29.8591597059464,17,2,1.03297499698031
"mortality_rates","2020","amar",4.74034523761663,0,14.4831111418571,21,1,1.00466086503047
"mortality_rates","2021","amar",0,0,0,21,0,0.935562726117141
"mortality_rates","2013","astr",0,0,0,4,0,4.56536618754278
"mortality_rates","2014","astr",0,0,0,4,0,1.35112936344969
"mortality_rates","2015","astr",0,0,0,4,0,0.763175906913073
"mortality_rates","2016","astr",0,0,0,4,0,0.989733059548255
"mortality_rates","2017","astr",0,0,0,4,0,1.07049965776865
"mortality_rates","2018","astr",0,0,0,4,0,0.969199178644764
"mortality_rates","2019","astr",0,0,0,4,0,0.997262149212868
"mortality_rates","2020","astr",9.91633032899366,0,28.2908870032265,10,1,1.00889801505818
"mortality_rates","2021","astr",10.6806944615388,0,30.6759542432368,10,1,0.932785763175907
"mortality_rates","2013","caca",0,0,0,247,0,4.59160854275952
"mortality_rates","2014","caca",0,0,0,249,0,1.36580270431486
"mortality_rates","2015","caca",0,0,0,245,0,0.780388048443197
"mortality_rates","2016","caca",3.6430744166793,1.47835416518502,6.20274169150712,245,9,1.00850130606657
"mortality_rates","2017","caca",4.06411568246992,1.43316688844365,7.43413265719702,238,10,1.03458549744333
"mortality_rates","2018","caca",1.86970495875823,0,3.67427426420309,227,4,0.941941280940277
"mortality_rates","2019","caca",1.81293026943016,0.394432790153906,4.09260166795326,212,4,1.04113233375951
"mortality_rates","2020","caca",7.91743467316696,4.06327714676755,12.775377924389,274,22,1.01472344209795
"mortality_rates","2021","caca",19.5997070736511,13.3974706557296,25.9620482092356,271,49,0.914230004723045
"mortality_rates","2013","caco",0,0,0,231,0,4.67027565179516
"mortality_rates","2014","caco",0,0,0,233,0,1.24274924870672
"mortality_rates","2015","caco",0,0,0,230,0,0.793405350712734
"mortality_rates","2016","caco",2.64603224804602,0.509707427646841,5.04491756635791,228,6,0.994464257838299
